 T =  300.0 K
 Configuration with maximum probability:            2
 Configuration with minimum probability:         2853

         m  omega(m)         Sd(m)      ene(m)       Ed(m)        p(m)
       375        12  0.214133E-03  -7726.7825  -7726.8467      0.0000
       376        12  0.214133E-03  -7726.8032  -7726.8674      0.0000
       377        12  0.214133E-03  -7727.6642  -7727.7284      0.0000
       378        12  0.214133E-03  -7727.6837  -7727.7479      0.0000
       379        12  0.214133E-03  -7727.0174  -7727.0816      0.0000
       380        12  0.214133E-03  -7727.7041  -7727.7683      0.0000
       381        12  0.214133E-03  -7726.8782  -7726.9425      0.0000
       382        12  0.214133E-03  -7727.8150  -7727.8792      0.0026
       383        12  0.214133E-03  -7727.5923  -7727.6566      0.0000
       384        12  0.214133E-03  -7727.0893  -7727.1536      0.0000
       385        12  0.214133E-03  -7727.5449  -7727.6092      0.0000
       386        12  0.214133E-03  -7727.4984  -7727.5626      0.0000
       387        12  0.214133E-03  -7727.4402  -7727.5044      0.0000
       388        12  0.214133E-03  -7726.8663  -7726.9305      0.0000
       389        12  0.214133E-03  -7727.5222  -7727.5864      0.0000
       390        12  0.214133E-03  -7727.5339  -7727.5982      0.0000
       391        12  0.214133E-03  -7726.7971  -7726.8613      0.0000
       392        12  0.214133E-03  -7727.4339  -7727.4982      0.0000
       393        12  0.214133E-03  -7726.8303  -7726.8945      0.0000
       394        12  0.214133E-03  -7727.5099  -7727.5741      0.0000
       395        12  0.214133E-03  -7727.4984  -7727.5627      0.0000
       396        12  0.214133E-03  -7726.8996  -7726.9639      0.0000
       397        12  0.214133E-03  -7727.4934  -7727.5577      0.0000
       398        12  0.214133E-03  -7727.4191  -7727.4834      0.0000
       399        12  0.214133E-03  -7727.4004  -7727.4646      0.0000
       400        12  0.214133E-03  -7726.6987  -7726.7630      0.0000
       401        12  0.214133E-03  -7727.3964  -7727.4606      0.0000
       402        12  0.214133E-03  -7727.4625  -7727.5268      0.0000
       403        12  0.214133E-03  -7726.7162  -7726.7804      0.0000
       404        12  0.214133E-03  -7727.3889  -7727.4532      0.0000
       405        12  0.214133E-03  -7726.8186  -7726.8828      0.0000
       406        12  0.214133E-03  -7727.4171  -7727.4813      0.0000
       407        12  0.214133E-03  -7727.4234  -7727.4877      0.0000
       408        12  0.214133E-03  -7726.8488  -7726.9130      0.0000
       409        12  0.214133E-03  -7727.3768  -7727.4410      0.0000
       410        12  0.214133E-03  -7726.7694  -7726.8337      0.0000
       411        12  0.214133E-03  -7726.8790  -7726.9432      0.0000
       412        12  0.214133E-03  -7726.7811  -7726.8453      0.0000
       413        12  0.214133E-03  -7726.9402  -7727.0044      0.0000
       414        12  0.214133E-03  -7726.8647  -7726.9289      0.0000
       415        12  0.214133E-03  -7726.8821  -7726.9463      0.0000
       416        12  0.214133E-03  -7726.9134  -7726.9776      0.0000
       417        12  0.214133E-03  -7726.8339  -7726.8982      0.0000
       418        12  0.214133E-03  -7726.8439  -7726.9081      0.0000
       419        12  0.214133E-03  -7726.8644  -7726.9286      0.0000
       420        12  0.214133E-03  -7726.8717  -7726.9359      0.0000
       421        12  0.214133E-03  -7726.8962  -7726.9604      0.0000
       422        12  0.214133E-03  -7727.6571  -7727.7214      0.0000
       423        12  0.214133E-03  -7726.9491  -7727.0133      0.0000
       424        12  0.214133E-03  -7727.0830  -7727.1472      0.0000
       425        12  0.214133E-03  -7727.0078  -7727.0721      0.0000
